name,return_type,params,prototype,usage_class,usage_count,stm32,nrf5x,esp32,files
jshFlashGetMemMapAddress,size_t,size_t ptr,size_t jshFlashGetMemMapAddress(size_t ptr),used by core/libs,14,yes,yes,yes,src/jsflash.c | src/jshardware.h | src/jswrap_espruino.c | src/jswrap_io.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshUtilTimerStart,void,JsSysTime period,void jshUtilTimerStart(JsSysTime period),used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jstimer.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshUtilTimerReschedule,void,JsSysTime period,void jshUtilTimerReschedule(JsSysTime period),used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jstimer.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshUtilTimerDisable,void,,void jshUtilTimerDisable(),used by core/libs,13,yes,yes,yes,src/jshardware.h | src/jstimer.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/bluetooth.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshGetPinAddress,volatile uint32_t *,"Pin pin, JshGetPinAddressFlags flags","volatile uint32_t *jshGetPinAddress(Pin pin, JshGetPinAddressFlags flags)",used by core/libs,7,yes,,,src/jshardware.h | src/jswrap_io.c | src/jswrap_pin.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshSetupRTCPrescalerValue,void,unsigned int prescale,void jshSetupRTCPrescalerValue(unsigned int prescale),used by core/libs,5,yes,,,src/jshardware.h | src/jswrap_espruino.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c
jshGetRTCPrescalerValue,int,bool calibrate,int jshGetRTCPrescalerValue(bool calibrate),used by core/libs,5,yes,,,src/jshardware.h | src/jswrap_espruino.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c
jshResetRTCTimer,void,,void jshResetRTCTimer(),used by core/libs,5,yes,,,src/jshardware.h | src/jswrap_espruino.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c
jshClearUSBIdleTimeout,void,,void jshClearUSBIdleTimeout(),used by core/libs,6,yes,,,src/jshardware.h | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c | targets/stm32_boot/utils.c | targets/stm32_ll/jshardware.c
jshReadVRef,JsVarFloat,,JsVarFloat jshReadVRef(),used by core/libs,16,yes,yes,yes,libs/bluetooth/jswrap_bluetooth.c | libs/joltjs/jswrap_jolt.c | libs/pixljs/jswrap_pixljs.c | libs/puckjs/jswrap_puck.c | src/jshardware.h | src/jswrap_espruino.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md
jshReadVDDH,JsVarFloat,,JsVarFloat jshReadVDDH(),used by core/libs,6,,yes,,src/jshardware.h | src/jswrap_espruino.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshGetRandomNumber,unsigned int,,unsigned int jshGetRandomNumber(),used by core/libs,12,yes,yes,yes,libs/network/network.c | src/jshardware.h | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshSetSystemClock,unsigned int,JsVar *options,unsigned int jshSetSystemClock(JsVar *options),used by core/libs,13,yes,yes,yes,src/jshardware.h | src/jswrap_espruino.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/esp8266/jswrap_esp8266.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshGetSystemClock,JsVar *,,JsVar *jshGetSystemClock(),used by core/libs,6,yes,,,src/jshardware.h | src/jshardware_common.c | src/jswrap_espruino.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c
jshReboot,void,,void jshReboot(),used by core/libs,15,yes,yes,yes,libs/banglejs/jswrap_bangle.c | src/jshardware.h | src/jswrap_espruino.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp32/jswrap_esp32.c | targets/esp8266/jshardware.c | targets/esp8266/jswrap_esp8266.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshVirtualPinSetValue,void,"Pin pin, bool state","void jshVirtualPinSetValue(Pin pin, bool state)",used by core/libs,6,,yes,,libs/microbit/jswrap_microbit.c | libs/nordic_thingy/jswrap_thingy.c | src/jshardware.h | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshVirtualPinGetValue,bool,Pin pin,bool jshVirtualPinGetValue(Pin pin),used by core/libs,6,,yes,,libs/microbit/jswrap_microbit.c | libs/nordic_thingy/jswrap_thingy.c | src/jshardware.h | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshVirtualPinGetAnalogValue,JsVarFloat,Pin pin,JsVarFloat jshVirtualPinGetAnalogValue(Pin pin),used by core/libs,6,,yes,,libs/microbit/jswrap_microbit.c | libs/nordic_thingy/jswrap_thingy.c | src/jshardware.h | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshVirtualPinSetState,void,"Pin pin, JshPinState state","void jshVirtualPinSetState(Pin pin, JshPinState state)",used by core/libs,6,,yes,,libs/microbit/jswrap_microbit.c | libs/nordic_thingy/jswrap_thingy.c | src/jshardware.h | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshVirtualPinGetState,JshPinState,Pin pin,JshPinState jshVirtualPinGetState(Pin pin),used by core/libs,6,,yes,,libs/microbit/jswrap_microbit.c | libs/nordic_thingy/jswrap_thingy.c | src/jshardware.h | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
